# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-2.55255,-4.26740246e-03,-4.2674
-2.45245,-4.33539817e-03,-4.3354
-2.35235,-4.16636299e-03,-4.16636
-2.25225,-4.35731112e-03,-4.35731
-2.15215,-4.21191511e-03,-4.21192
-2.05205,-3.92124411e-03,-3.92124
-1.95195,-4.12616386e-03,-4.12616
-1.85185,-3.97157460e-03,-3.97157
-1.75175,-4.07109696e-03,-4.0711
-1.65165,-3.98641656e-03,-3.98642
-1.55155,-4.01327266e-03,-4.01327
-1.45145,-3.98655111e-03,-3.98655
-1.35135,-4.00815034e-03,-4.00815
-1.25125,-3.84659794e-03,-3.8466
-1.15115,-3.93289903e-03,-3.9329
-1.05105,-3.73795088e-03,-3.73795
-0.950951,-3.65134575e-03,-3.65135
-0.850851,-3.67713984e-03,-3.67714
-0.750751,-3.69484078e-03,-3.69484
-0.650651,-3.57169593e-03,-3.5717
-0.550551,-3.59723757e-03,-3.59724
-0.45045,-3.42044027e-03,-3.42044
-0.35035,-3.64305115e-03,-3.64305
-0.25025,-3.43761971e-03,-3.43762
-0.15015,-3.54546151e-03,-3.54546
-0.0500501,-3.43631864e-03,-3.43632
0.0500501,-3.08890540e-03,-3.08891
0.15015,-3.07223274e-03,-3.07223
0.25025,-3.16807090e-03,-3.16807
0.35035,-3.17858604e-03,-3.17859
0.45045,-3.25476933e-03,-3.25477
0.550551,-2.94033896e-03,-2.94034
0.650651,-2.56923476e-03,-2.56923
0.750751,-2.69060763e-03,-2.69061
0.850851,-2.71032231e-03,-2.71032
0.950951,-2.52548877e-03,-2.52549
1.05105,-2.64299754e-03,-2.643
1.15115,-2.42871964e-03,-2.42872
1.25125,-2.29821018e-03,-2.29821
1.35135,-2.22292474e-03,-2.22292
1.45145,-2.03827467e-03,-2.03827
1.55155,-1.98270950e-03,-1.98271
1.65165,-1.84682898e-03,-1.84683
1.75175,-1.87554216e-03,-1.87554
1.85185,-1.60640567e-03,-1.60641
1.95195,-1.41909389e-03,-1.41909
2.05205,-1.56099610e-03,-1.561
2.15215,-1.43080829e-03,-1.43081
2.25225,-1.08244833e-03,-1.08245
2.35235,-1.10494159e-03,-1.10494
2.45245,-8.10855113e-04,-0.810855
2.55255,-8.56422904e-04,-0.856423
2.65265,-5.22946262e-04,-0.522946
2.75275,-5.06775339e-04,-0.506775
2.85285,-3.40602606e-04,-0.340603
2.95295,-5.13150397e-05,-0.051315
3.05305,-8.00106222e-05,-0.0800106
3.15315,3.15024270e-05,0.0315024
3.25325,2.55887812e-04,0.255888
3.35335,5.26981375e-04,0.526981
3.45345,5.12249281e-04,0.512249
3.55355,9.25929016e-04,0.925929
3.65365,1.00815412e-03,1.00815
3.75375,1.38337473e-03,1.38337
3.85385,1.24267030e-03,1.24267
3.95395,1.62411875e-03,1.62412
4.05405,1.76222714e-03,1.76223
4.15415,2.08402101e-03,2.08402
4.25425,2.43511221e-03,2.43511
4.35435,2.64432539e-03,2.64433
4.45445,2.89729175e-03,2.89729
4.55455,3.17585919e-03,3.17586
4.65465,3.49032884e-03,3.49033
4.75475,3.65672046e-03,3.65672
4.85485,4.12553276e-03,4.12553
4.95495,4.42840658e-03,4.42841
5.05506,4.71829435e-03,4.71829
5.15516,5.06380430e-03,5.0638
5.25526,5.37722637e-03,5.37723
5.35536,5.90197444e-03,5.90197
5.45546,6.05247761e-03,6.05248
5.55556,6.40543764e-03,6.40544
5.65566,6.74840643e-03,6.74841
5.75576,7.12122978e-03,7.12123
5.85586,7.51423329e-03,7.51423
5.95596,7.97801171e-03,7.97801
6.05606,8.50249548e-03,8.5025
6.15616,9.00061687e-03,9.00062
6.25626,9.44538447e-03,9.44538
6.35636,9.85278324e-03,9.85278
6.45646,1.05249476e-02,10.5249
6.55656,1.10315495e-02,11.0315
6.65666,1.14819888e-02,11.482
6.75676,1.19912732e-02,11.9913
6.85686,1.26889043e-02,12.6889
6.95696,1.32498819e-02,13.2499
7.05706,1.37034837e-02,13.7035
7.15716,1.44795841e-02,14.4796
7.25726,1.51722535e-02,15.1723
7.35736,1.57380626e-02,15.7381
7.45746,1.65520700e-02,16.5521
7.55756,1.71165112e-02,17.1165
7.65766,1.81491836e-02,18.1492
7.75776,1.89194319e-02,18.9194
7.85786,1.95748228e-02,19.5748
7.95796,2.04691179e-02,20.4691
8.05806,2.10526633e-02,21.0527
8.15816,2.20680453e-02,22.068
8.25826,2.30744570e-02,23.0745
8.35836,2.39479290e-02,23.9479
8.45846,2.51100989e-02,25.1101
8.55856,2.62552083e-02,26.2552
8.65866,2.69890689e-02,26.9891
8.75876,2.81098365e-02,28.1098
8.85886,2.93407886e-02,29.3408
8.95896,3.06400737e-02,30.6401
9.05906,3.15577918e-02,31.5578
9.15916,3.29466838e-02,32.9467
9.25926,3.43877252e-02,34.3877
9.35936,3.53677259e-02,35.3677
9.45946,3.67770686e-02,36.7771
9.55956,3.82815812e-02,38.2816
9.65966,3.97387197e-02,39.7387
9.75976,4.13885766e-02,41.3886
9.85986,4.28994080e-02,42.8994
9.95996,4.43188026e-02,44.3188
10.0601,4.52487783e-02,45.2488
10.1602,4.52015454e-02,45.2015
10.2603,4.54488061e-02,45.4488
10.3604,4.53206647e-02,45.3207
10.4605,4.53818240e-02,45.3818
10.5606,4.55616607e-02,45.5617
10.6607,4.56459023e-02,45.6459
10.7608,4.56764816e-02,45.6765
10.8609,4.55251740e-02,45.5252
10.961,4.58095992e-02,45.8096
11.0611,4.57144271e-02,45.7144
11.1612,4.59034475e-02,45.9034
11.2613,4.57996085e-02,45.7996
11.3614,4.60486763e-02,46.0487
11.4615,4.59854462e-02,45.9854
11.5616,4.59999047e-02,45.9999
11.6617,4.62616122e-02,46.2616
11.7618,4.62764567e-02,46.2765
11.8619,4.62529567e-02,46.253
11.962,4.65215343e-02,46.5215
12.0621,4.63944132e-02,46.3944
12.1622,4.65037513e-02,46.5038
12.2623,4.65894939e-02,46.5895
12.3624,4.65626981e-02,46.5627
12.4625,4.67338404e-02,46.7338
12.5626,4.66954436e-02,46.6954
12.6627,4.67696870e-02,46.7697
12.7628,4.70091772e-02,47.0092
12.8629,4.68309164e-02,46.8309
12.963,4.67557590e-02,46.7558
13.0631,4.72201928e-02,47.2202
13.1632,4.73760940e-02,47.3761
13.2633,4.71426963e-02,47.1427
13.3634,4.70516015e-02,47.0516
13.4635,4.72762989e-02,47.2763
13.5636,4.73407871e-02,47.3408
13.6637,4.74124791e-02,47.4125
13.7638,4.73821947e-02,47.3822
13.8639,4.76135517e-02,47.6136
13.964,4.76701084e-02,47.6701
14.0641,4.75302792e-02,47.5303
